"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"MDM2","basq",FALSE,TRUE,FALSE,1,0.882077642357809,4.28391421197754,1.16573417585641e-13,0.00171175854365691,0.677821522309711
"PUM2","basq",FALSE,TRUE,FALSE,1,0.90195132611943,4.7060730026109,NA,0,0.743438320209974
"AGO4","basq",FALSE,TRUE,FALSE,1,0.795284537964971,2.56056944610815,NA,0,0.347769028871391
"EHMT2","basq",FALSE,TRUE,FALSE,1,0.869629822590916,3.08917602731154,NA,0,0.452099737532808
"PPP1R10","basq",FALSE,TRUE,FALSE,1,0.913623830281134,4.1872861020901,NA,0,0.660761154855643
"SEPTIN14","basq",FALSE,TRUE,FALSE,1,9.41952892807948,0.163000336386379,NA,0,0.0754593175853018
"SH2B1","basq",FALSE,TRUE,FALSE,1,0.847147567345194,3.68732778230458,NA,0,0.565616797900262
"RMDN1","basq",FALSE,TRUE,FALSE,1,0.946277925759799,4.71491302465626,NA,0,0.746062992125984
"DUX4","basq",FALSE,TRUE,FALSE,1,12.0845491950167,0.00962335434751078,NA,0,0.0183727034120735
"TUBGCP5","basq",FALSE,TRUE,FALSE,1,0.917973175864779,2.92394255392015,NA,0,0.421259842519685
"WDR6","basq",FALSE,TRUE,FALSE,1,0.80308744977137,4.73358650931005,NA,3.05815978601293e-14,0.751312335958005
"BRD8","basq",FALSE,TRUE,FALSE,1,0.766272852769804,2.46427566364361,NA,5.60662627435704e-14,0.334645669291339
"KLF4","basq",FALSE,TRUE,FALSE,1,1.18569878658821,1.40409160332059,NA,2.07013893207029e-13,0.19750656167979
"SYF2","basq",FALSE,TRUE,FALSE,1,0.917833357227976,6.081807125945,NA,3.12369178142749e-13,0.906824146981627
"NIPBL","basq",FALSE,TRUE,FALSE,1,0.901697709881494,3.39971428253273,NA,4.03677091753707e-13,0.505249343832021
"TMEM8B","basq",FALSE,TRUE,FALSE,1,0.627168294281154,1.79873493190688,NA,1.77596895523102e-10,0.242782152230971
"FOXO4","basq",FALSE,TRUE,FALSE,1,0.733577327094307,2.76274792612776,NA,3.85333529790193e-10,0.388451443569554
