"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"FHL1","mes",FALSE,TRUE,TRUE,2,1.66877500737179,6.48610506216228,NA,0.0209608351621246,0.921916010498688
"ATM","mes",FALSE,TRUE,FALSE,1,1.48815494320691,3.72947003674169,0,3.38876295445875e-11,0.532808398950131
"AKT1","mes",FALSE,TRUE,FALSE,1,1.08044997458709,6.24391134743925,4.51151338509703e-08,0.0209608351621246,0.904199475065617
"RAD51","mes",TRUE,FALSE,FALSE,1,0.651524450326578,2.43033614221111,5.95202357178692e-05,0.13039215048086,0.318241469816273
"MAD2L1","mes",TRUE,FALSE,FALSE,1,0.602731056655645,1.76571824264908,0.00283502320392344,0.343095040739522,0.229658792650919
"CDK1","mes",TRUE,FALSE,FALSE,1,0.494786109011006,0.637890368477903,0.00545707333643823,0.392617374487477,0.11745406824147
"PPP2CB","mes",FALSE,TRUE,FALSE,1,1.08123615756602,6.51690043437461,NA,0,0.926509186351706
"AICDA","mes",FALSE,TRUE,FALSE,1,7.25877129455733,0.753941639015402,NA,0,0.13254593175853
"DAZL","mes",FALSE,TRUE,FALSE,1,8.37563302310433,0.642904722197252,NA,0,0.118766404199475
"PIAS1","mes",FALSE,TRUE,FALSE,1,1.15892818535745,4.04902809381779,NA,0,0.598425196850394
"SDCBP","mes",FALSE,TRUE,FALSE,1,1.14070756466133,8.09696441784323,NA,0,0.977690288713911
"FGF10","mes",FALSE,TRUE,FALSE,1,5.67222863400614,2.0001405710338,NA,0,0.267716535433071
"CXCR5","mes",FALSE,TRUE,FALSE,1,4.87081656106432,2.45242189529684,NA,0,0.324803149606299
"PRKCB","mes",FALSE,TRUE,FALSE,1,2.16458052461732,4.05593192372685,NA,0,0.600393700787402
"KCTD19","mes",FALSE,TRUE,FALSE,1,5.57180427891491,0.0645448422634676,NA,0,0.0433070866141732
"SEPTIN1","mes",FALSE,TRUE,FALSE,1,2.91847473092965,1.53254458670879,NA,0,0.200787401574803
"PRICKLE1","mes",FALSE,TRUE,FALSE,1,2.45089294402433,0.976484404653979,NA,0,0.150918635170604
"SND1","mes",FALSE,TRUE,FALSE,1,1.08785273287513,6.50323813620284,NA,0,0.923884514435696
"NPR2","mes",FALSE,TRUE,FALSE,1,2.94261070958716,1.30062023352155,NA,0,0.177165354330709
"NAE1","mes",FALSE,TRUE,FALSE,1,0.939982062118441,5.17645729154093,NA,0,0.788057742782152
"CDK9","mes",FALSE,TRUE,FALSE,1,1.13352307990801,5.13016387001584,NA,0,0.782152230971129
"ARHGEF10","mes",FALSE,TRUE,FALSE,1,1.73960049872454,2.52222964930199,NA,0,0.334645669291339
"MTA3","mes",FALSE,TRUE,FALSE,1,0.663927679953235,1.79479096985881,NA,0,0.234251968503937
"SMOC2","mes",FALSE,TRUE,FALSE,1,1.8834343643727,5.41431765233246,NA,0,0.823490813648294
"ADAMTS1","mes",FALSE,TRUE,FALSE,1,1.5842040091008,6.04738266170118,NA,0,0.891076115485564
"IHO1","mes",FALSE,TRUE,FALSE,1,3.47222257204643,0.586833434346299,NA,0,0.111548556430446
"CDK15","mes",FALSE,TRUE,FALSE,1,3.23107668187052,1.17402449022495,NA,0,0.166666666666667
"TLK1","mes",FALSE,TRUE,FALSE,1,1.10965842121642,4.18787600339244,NA,0,0.622047244094488
"CTDNEP1","mes",FALSE,TRUE,FALSE,1,1.13964428627618,6.97285746791678,NA,0,0.948162729658793
"PPP1R9B","mes",FALSE,TRUE,FALSE,1,1.27422553575717,5.09855679331954,NA,0,0.778215223097113
"CCPG1","mes",FALSE,TRUE,FALSE,1,1.27482473762825,5.26618098901053,NA,0,0.803805774278215
"IFFO1","mes",FALSE,TRUE,FALSE,1,2.75680855474678,1.08394079861921,NA,0,0.158792650918635
"RARA","mes",FALSE,TRUE,FALSE,1,1.3508217681887,4.67605233285151,NA,1.0851534724562e-14,0.716535433070866
"CD28","mes",FALSE,TRUE,FALSE,1,2.29605641217235,3.23923077761956,NA,1.0851534724562e-14,0.44750656167979
"CTDSP2","mes",FALSE,TRUE,FALSE,1,1.1487458613874,6.50331781347568,NA,1.0851534724562e-14,0.924540682414698
"HHEX","mes",FALSE,TRUE,FALSE,1,1.73683865638791,4.39775759099475,NA,2.94347879403745e-13,0.670603674540682
"CCDC42","mes",FALSE,TRUE,FALSE,1,2.3464742822873,0.192635841424192,NA,1.16749747124847e-12,0.0708661417322835
"RAD51B","mes",FALSE,TRUE,FALSE,1,0.909603802021731,2.5333998577725,NA,1.16749747124847e-12,0.335958005249344
"TAL1","mes",FALSE,TRUE,FALSE,1,2.10278335178809,1.77963552576133,NA,6.2762176408374e-12,0.232939632545932
"GJC2","mes",FALSE,TRUE,FALSE,1,2.34476699797505,1.52441194762062,NA,1.05498017729152e-11,0.199475065616798
"TUBB1","mes",FALSE,TRUE,FALSE,1,3.13000181610509,0.535651576375382,NA,1.38377597668726e-11,0.106955380577428
"IQGAP2","mes",FALSE,TRUE,FALSE,1,2.86843380718929,2.13795710815631,NA,3.79352959301881e-11,0.286089238845144
"GRK5","mes",FALSE,TRUE,FALSE,1,1.88129196891136,3.95161601098187,NA,1.01844366273696e-10,0.580708661417323
"UIMC1","mes",FALSE,TRUE,FALSE,1,1.14847774436052,4.51194432257404,NA,1.38333247296087e-10,0.69750656167979
"CHMP7","mes",FALSE,TRUE,FALSE,1,1.66069855343825,3.78861130475351,NA,2.46939849521003e-10,0.546587926509186
"CCND2","mes",FALSE,TRUE,FALSE,1,2.70582497060571,3.7729707596873,NA,3.04486745894303e-10,0.543307086614173
"FBXL15","mes",FALSE,TRUE,FALSE,1,1.19754295898649,3.2504812804171,NA,3.53232746083424e-10,0.448818897637795
"MAP4","mes",FALSE,TRUE,FALSE,1,1.1362323796594,6.13121463744994,NA,3.90295943712241e-10,0.893700787401575
"CHMP4C","mes",FALSE,TRUE,FALSE,1,0.341778328205264,1.75527708354535,NA,5.43165078132515e-10,0.228346456692913
"MYO16","mes",FALSE,TRUE,FALSE,1,5.80889594180465,0.455019339277706,NA,5.84222386780077e-10,0.100393700787402
"MYOCD","mes",FALSE,TRUE,FALSE,1,2.57868507315867,2.09665053781953,NA,5.1038730880526e-09,0.27755905511811
"DLG1","mes",FALSE,TRUE,FALSE,1,0.904070616816056,4.1829932588065,NA,7.14945082727795e-09,0.62007874015748
"PLCG2","mes",FALSE,TRUE,FALSE,1,1.98045834691028,3.65528855096975,NA,8.3050304633403e-09,0.522965879265092
"FAM107A","mes",FALSE,TRUE,FALSE,1,2.40235971806547,3.93463133710429,NA,3.24366086278198e-08,0.576115485564304
"CCNH","mes",FALSE,TRUE,FALSE,1,1.0762482876207,5.16248322686589,NA,3.42464765520271e-08,0.784776902887139
"SFRP1","mes",FALSE,TRUE,FALSE,1,2.76425361867408,5.00612573512272,NA,5.51150107942426e-08,0.769028871391076
"FBXW7","mes",FALSE,TRUE,FALSE,1,1.22856434241974,3.92784816686327,NA,9.05234727300987e-08,0.574803149606299
"NAA50","mes",FALSE,TRUE,FALSE,1,0.92173714229534,5.64253797898927,NA,1.23451054167102e-07,0.853018372703412
"PPP1R12A","mes",FALSE,TRUE,FALSE,1,1.20315065185469,4.89740164931159,NA,1.42179456898349e-07,0.751312335958005
"SNX18","mes",FALSE,TRUE,FALSE,1,1.1689024517367,4.20305915791952,NA,2.7822044019207e-07,0.626640419947507
"SNX9","mes",FALSE,TRUE,FALSE,1,1.27013933395438,5.77436884583322,NA,2.84404052568353e-07,0.869422572178478
"BCL2","mes",FALSE,TRUE,FALSE,1,1.762705928384,3.14153662531328,NA,3.72269056291668e-07,0.431102362204724
"BAP1","mes",FALSE,TRUE,FALSE,1,1.12742185008624,4.83205239019736,NA,4.24205710451126e-07,0.742125984251969
"RGCC","mes",FALSE,TRUE,FALSE,1,1.24593878734366,6.18536754542524,NA,4.381597816318e-07,0.900918635170604
"DRD3","mes",FALSE,TRUE,FALSE,1,2.71375601114566,0.0211073952471143,NA,1.41891851237336e-06,0.0288713910761155
"PDGFB","mes",FALSE,TRUE,FALSE,1,1.47375364319753,3.57038619052856,NA,1.82315726500353e-06,0.503937007874016
"CALM1","mes",FALSE,TRUE,FALSE,1,1.09351888938139,7.64653819947169,NA,2.08647660099563e-06,0.967847769028871
"RUNX3","mes",FALSE,TRUE,FALSE,1,2.5116062891046,4.01377863703707,NA,2.55816314493992e-06,0.58989501312336
"SLC25A5","mes",FALSE,TRUE,FALSE,1,0.921463989162172,8.31918834645734,NA,2.85486252718911e-06,0.980971128608924
"HSPA2","mes",FALSE,TRUE,FALSE,1,1.70772502456416,0.41733292439978,NA,2.86614602769662e-06,0.0977690288713911
"FBXL7","mes",FALSE,TRUE,FALSE,1,2.27372059981068,3.40401317791625,NA,2.86983452913818e-06,0.474409448818898
"DCAF13","mes",FALSE,TRUE,FALSE,1,0.871070966674143,5.41927253184302,NA,3.38346324856952e-06,0.824803149606299
"NEK9","mes",FALSE,TRUE,FALSE,1,1.23091108224829,4.51991665470564,NA,4.23690046826132e-06,0.698162729658793
"PIM3","mes",FALSE,TRUE,FALSE,1,1.15572526447021,5.66850924936531,NA,4.23972185843446e-06,0.856299212598425
"LATS2","mes",FALSE,TRUE,FALSE,1,1.55175688232996,3.50362114578125,NA,5.01225704353573e-06,0.490157480314961
"DCTN2","mes",FALSE,TRUE,FALSE,1,0.983425364112275,5.59275043269862,NA,5.14062764624466e-06,0.846456692913386
"CAMK2A","mes",FALSE,TRUE,FALSE,1,3.80018604344454,0.603624888030884,NA,9.51143660832265e-06,0.112860892388451
"IK","mes",FALSE,TRUE,FALSE,1,1.07209243507541,6.84175686665121,NA,1.3020935371272e-05,0.940944881889764
"PSMA8","mes",FALSE,TRUE,FALSE,1,5.5895437206625,0.240067141632164,NA,2.11794804684495e-05,0.0800524934383202
"CDK11A","mes",FALSE,TRUE,FALSE,1,1.13610077081742,3.80515427977544,NA,2.67211801027337e-05,0.547900262467192
"STAT5B","mes",FALSE,TRUE,FALSE,1,1.41938512854728,4.65642813405064,NA,3.40042072107086e-05,0.713910761154856
"DCUN1D3","mes",FALSE,TRUE,FALSE,1,1.36026185298765,2.74013679803609,NA,5.3820751833635e-05,0.362860892388451
"THAP1","mes",FALSE,TRUE,FALSE,1,1.1113790098609,3.86699126636428,NA,8.19719965451614e-05,0.559711286089239
"CCND3","mes",FALSE,TRUE,FALSE,1,1.18289155940227,6.25990721256153,NA,8.19719965451614e-05,0.906167979002625
"SRPK1","mes",FALSE,TRUE,FALSE,1,0.801459269170986,4.14642518218822,NA,8.19719965451614e-05,0.614829396325459
"SETDB2","mes",FALSE,TRUE,FALSE,1,1.54202223693479,1.76033893343866,NA,8.62464296474426e-05,0.229002624671916
"PDE3A","mes",FALSE,TRUE,FALSE,1,2.30145518914319,2.04223584034751,NA,8.62464296474426e-05,0.274278215223097
"UVRAG","mes",FALSE,TRUE,FALSE,1,1.19909389389895,4.20215231632873,NA,0.000118525013318126,0.625984251968504
"M1AP","mes",FALSE,TRUE,FALSE,1,0.530383988429924,0.147250030931779,NA,0.000118525013318126,0.068241469816273
"EML1","mes",FALSE,TRUE,FALSE,1,1.67037910671646,3.90700890824976,NA,0.000129960716238608,0.570866141732283
"CAMSAP3","mes",FALSE,TRUE,FALSE,1,0.221711083669454,0.569388653192631,NA,0.00016242171029067,0.110892388451444
"NUDT15","mes",FALSE,TRUE,FALSE,1,0.869724079706863,4.31263132734937,NA,0.000368247745973216,0.650918635170604
"RTEL1","mes",FALSE,TRUE,FALSE,1,1.55128466956763,0.899004315086936,NA,0.000493828071202198,0.145669291338583
"NUP37","mes",FALSE,TRUE,FALSE,1,0.904369541635354,4.84823869409113,NA,0.000611453554130565,0.743438320209974
"CACNB4","mes",FALSE,TRUE,FALSE,1,3.30562989296368,0.319389470380552,NA,0.000617823765831891,0.0885826771653543
"RPS27L","mes",FALSE,TRUE,FALSE,1,1.10688019914928,8.51020633179945,NA,0.000685480276636989,0.98490813648294
"DACT1","mes",FALSE,TRUE,FALSE,1,2.21837235064489,0.297508031107192,NA,0.000729833696583027,0.0846456692913386
"PIM2","mes",FALSE,TRUE,FALSE,1,1.5172856461949,6.57343084409981,NA,0.000815261149410235,0.93241469816273
"REC8","mes",FALSE,TRUE,FALSE,1,1.83246522016447,2.14397102626785,NA,0.000923173334794057,0.286745406824147
"MAPK14","mes",FALSE,TRUE,FALSE,1,1.0441158125533,5.20764282285445,NA,0.00104548983717106,0.797244094488189
"DIRAS3","mes",FALSE,TRUE,FALSE,1,2.32021003791968,2.48558629682284,NA,0.00110535670974147,0.33005249343832
"FBXO31","mes",FALSE,TRUE,FALSE,1,1.45988389023362,2.18922807788141,NA,0.00111991054902057,0.291338582677165
"LPIN1","mes",FALSE,TRUE,FALSE,1,1.47026355237853,4.16745486395054,NA,0.00113959237922223,0.61745406824147
"TOP3B","mes",FALSE,TRUE,FALSE,1,1.11245296924057,2.51608158561198,NA,0.00118772976228728,0.333989501312336
"RAB35","mes",FALSE,TRUE,FALSE,1,1.08952879843002,5.42225611348208,NA,0.00122506809281799,0.825459317585302
"SUSD2","mes",FALSE,TRUE,FALSE,1,1.43146581901746,2.21721649167705,NA,0.00122506809281799,0.293307086614173
"WNK1","mes",FALSE,TRUE,FALSE,1,1.20049880563797,3.7469930787591,NA,0.00125459756222573,0.536745406824147
"CCDC102B","mes",FALSE,TRUE,FALSE,1,1.63741799672808,3.10010913528656,NA,0.00125459756222573,0.423884514435696
"NEK3","mes",FALSE,TRUE,FALSE,1,1.23462340159274,2.86130965396111,NA,0.00130870025575141,0.377296587926509
"EXOC2","mes",FALSE,TRUE,FALSE,1,1.09685322326993,3.99040685522197,NA,0.00134346138373427,0.587270341207349
"PKD1","mes",FALSE,TRUE,FALSE,1,1.57660119105468,2.79112669173493,NA,0.00135464145631841,0.36745406824147
"FLNA","mes",FALSE,TRUE,FALSE,1,1.49595210169891,7.65769555371034,NA,0.00138152875770505,0.969160104986877
"BTG1","mes",FALSE,TRUE,FALSE,1,1.26847543097663,4.03786592429846,NA,0.00141272274861552,0.595800524934383
