"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"BRINP2","scne",FALSE,TRUE,FALSE,1,8.43770045017348,0.996975796859331,NA,8.57484018431077e-12,0.128608923884514
"DBF4","scne",FALSE,TRUE,FALSE,1,3.11956192603892,1.59953846402934,NA,1.55845881071998e-09,0.188976377952756
"BUB3","scne",FALSE,TRUE,FALSE,1,1.11037172325027,7.00838764771565,NA,2.07435439894281e-09,0.952099737532808
"BRSK2","scne",FALSE,TRUE,FALSE,1,5.22006465770112,1.39703706362517,NA,2.11940440506295e-09,0.167979002624672
"BCR","scne",FALSE,TRUE,FALSE,1,0.818776688855645,3.146637353451,NA,3.06737707960797e-09,0.380577427821522
"BRME1","scne",FALSE,TRUE,FALSE,1,3.79703386283956,1.50026175814708,NA,4.50798129819337e-09,0.178477690288714
"MX2","scne",FALSE,TRUE,FALSE,1,0.501756267398758,2.12630232667889,NA,4.50798129819337e-09,0.238845144356955
"FSD1","scne",FALSE,TRUE,FALSE,1,4.0594559043945,2.97397067277484,NA,4.56518191065939e-09,0.352362204724409
"MSH4","scne",FALSE,TRUE,FALSE,1,3.88535665504767,0.210897030207268,NA,7.4992826637853e-09,0.0531496062992126
"KMT5A","scne",FALSE,TRUE,FALSE,1,1.07712949587593,4.722886374376,NA,1.64286820814041e-08,0.698162729658793
"DMRT1","scne",FALSE,TRUE,FALSE,1,3.59985897517176,0.235145533477725,NA,1.99656869725642e-08,0.0551181102362205
"PRMT5","scne",FALSE,TRUE,FALSE,1,1.11860018739652,6.22701057452744,NA,2.41705945043748e-08,0.903543307086614
"RNF212","scne",FALSE,TRUE,FALSE,1,3.84510442405873,1.40796198084993,NA,2.66827033484114e-08,0.169291338582677
"USH1C","scne",FALSE,TRUE,FALSE,1,4.83135353605683,0.806790655577154,NA,3.3598044346661e-08,0.112204724409449
"STAG2","scne",FALSE,TRUE,FALSE,1,1.15373650769663,4.59329274083601,NA,4.06197175382663e-08,0.676509186351706
"EFHC1","scne",FALSE,TRUE,FALSE,1,3.18573844970319,0.988872959611726,NA,6.55254178279902e-08,0.127296587926509
"LMNA","scne",FALSE,TRUE,FALSE,1,0.786243342289456,4.98777096082931,NA,1.19398601006182e-07,0.740157480314961
"CCNB1IP1","scne",FALSE,TRUE,FALSE,1,1.23215378778783,6.53730392600835,NA,1.72064537545572e-07,0.928477690288714
"ANAPC7","scne",FALSE,TRUE,FALSE,1,1.1057466580895,5.25377726559972,NA,2.09396000967159e-07,0.793963254593176
"TBCE","scne",FALSE,TRUE,FALSE,1,1.32831863909709,2.39241314537134,NA,2.36373500115906e-07,0.276246719160105
"PSME1","scne",FALSE,TRUE,FALSE,1,0.947230170585525,8.34971646654833,NA,5.80051322252029e-07,0.979658792650919
"CEP295","scne",FALSE,TRUE,FALSE,1,1.25560863234557,3.58241644749312,NA,5.95277838209555e-07,0.471128608923885
"INO80B","scne",FALSE,TRUE,FALSE,1,0.889590415969667,3.71168415203313,NA,7.8338058595584e-07,0.498687664041995
"DACH1","scne",FALSE,TRUE,FALSE,1,3.68641515554049,2.61544887527108,NA,7.8338058595584e-07,0.301181102362205
"MNAT1","scne",FALSE,TRUE,FALSE,1,1.13880723852961,4.94255042176454,NA,8.89112299179721e-07,0.729658792650919
"HAUS2","scne",FALSE,TRUE,FALSE,1,1.08438387840193,3.81325830427524,NA,9.93902381336735e-07,0.517060367454068
"OOEP","scne",FALSE,TRUE,FALSE,1,2.56204507922497,0.657555095463606,NA,1.05058845677871e-06,0.100393700787402
"ING3","scne",FALSE,TRUE,FALSE,1,1.16418593558732,4.39560112986321,NA,1.42471710462555e-06,0.644356955380577
"CIB1","scne",FALSE,TRUE,FALSE,1,0.817198382965077,5.86332385440131,NA,1.70531603258281e-06,0.868110236220472
"CDK8","scne",FALSE,TRUE,FALSE,1,1.3366858584619,3.43308131118094,NA,2.87318622308653e-06,0.436351706036745
"CEP152","scne",FALSE,TRUE,FALSE,1,1.52256239342871,2.34477153480292,NA,6.40714351216946e-06,0.268372703412073
"TP73","scne",FALSE,TRUE,FALSE,1,2.13676397276789,2.28360990745319,NA,6.88045163173477e-06,0.26246719160105
"SEPTIN12","scne",FALSE,TRUE,FALSE,1,5.80548961620067,0.0935054194299966,NA,7.88855809796165e-06,0.0341207349081365
"FBXO6","scne",FALSE,TRUE,FALSE,1,0.698416795112812,3.06890137131099,NA,7.90972028731274e-06,0.368110236220472
"CCDC61","scne",FALSE,TRUE,FALSE,1,0.696611486996741,2.11714270574701,NA,8.36268602290063e-06,0.236876640419947
"DRG1","scne",FALSE,TRUE,FALSE,1,1.06023569265154,6.27510157974921,NA,9.33792003955784e-06,0.908136482939633
"CDC5L","scne",FALSE,TRUE,FALSE,1,1.14703363444201,4.7634009287588,NA,9.67490735129469e-06,0.706692913385827
"CCNK","scne",FALSE,TRUE,FALSE,1,0.541436151084535,1.00102554999419,NA,1.14846739951065e-05,0.129265091863517
"TIPRL","scne",FALSE,TRUE,FALSE,1,1.10844271493486,5.85021216415791,NA,1.27691474319876e-05,0.866797900262467
"RBM46","scne",FALSE,TRUE,FALSE,1,6.55311918535329,0.587264817867249,NA,1.53717340337537e-05,0.0925196850393701
"NLRP5","scne",FALSE,TRUE,FALSE,1,8.95768907942554,0.071368629099119,NA,1.68299674221762e-05,0.0301837270341207
"MAPK15","scne",FALSE,TRUE,FALSE,1,3.54594753810822,1.04801623544494,NA,2.08421755372986e-05,0.131233595800525
"RAD21","scne",FALSE,TRUE,FALSE,1,1.20027020648083,7.18856434597196,NA,3.21059432073154e-05,0.958661417322835
"CNTD1","scne",FALSE,TRUE,FALSE,1,5.5699432994976,0.46844601389567,NA,3.49384260701097e-05,0.0800524934383202
"POU4F1","scne",FALSE,TRUE,FALSE,1,3.96430670971194,1.51597905407427,NA,3.74807067562025e-05,0.181102362204724
"SLC25A31","scne",FALSE,TRUE,FALSE,1,5.03257269712779,0.0298251263447242,NA,3.85425240212456e-05,0.0229658792650919
"ERCC2","scne",FALSE,TRUE,FALSE,1,1.20414735250625,2.69457190436172,NA,4.01483791261814e-05,0.316929133858268
"AHCTF1","scne",FALSE,TRUE,FALSE,1,1.13007253621774,3.84934961229285,NA,4.23432961860204e-05,0.526902887139108
"TMOD3","scne",FALSE,TRUE,FALSE,1,0.874227470705706,3.80723959634886,NA,4.50621606916472e-05,0.51509186351706
"USP37","scne",FALSE,TRUE,FALSE,1,1.29754738919897,3.20407225942622,NA,6.31970991407126e-05,0.393700787401575
"MORF4L2","scne",FALSE,TRUE,FALSE,1,1.06442057712425,8.30743124267459,NA,6.90314749918208e-05,0.979002624671916
"SYCE2","scne",FALSE,TRUE,FALSE,1,3.61501391864113,2.2443082950461,NA,6.90403611104647e-05,0.258530183727034
"NEDD1","scne",FALSE,TRUE,FALSE,1,1.10732625755371,4.27764025635691,NA,7.384962589072e-05,0.61745406824147
"FBXO5","scne",FALSE,TRUE,FALSE,1,1.43694769063109,5.04413531214383,NA,7.6879809781722e-05,0.75
"THAP5","scne",FALSE,TRUE,FALSE,1,1.17969272639938,4.68354714867135,NA,0.000104016262745143,0.688976377952756
"UBE2L3","scne",FALSE,TRUE,FALSE,1,0.928789673383595,5.46662427031284,NA,0.000105724502568173,0.823490813648294
