"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"KANK2","mes",1,1.58230501221106,4.31970344852074,NA,0.652887139107612
"PKD1","mes",1,1.57660119105468,2.79112669173493,NA,0.36745406824147
"LATS2","mes",1,1.55175688232996,3.50362114578125,NA,0.490157480314961
"RTEL1","mes",1,1.55128466956763,0.899004315086936,NA,0.145669291338583
"ADARB1","mes",1,1.54432377526608,3.6462331794553,NA,0.520341207349081
"SETDB2","mes",1,1.54202223693479,1.76033893343866,NA,0.229002624671916
"RAD51","mes",1,0.651524450326578,2.43033614221111,5.95202357178692e-05,0.318241469816273
"KIF20A","mes",1,0.656004310614057,2.45838355706243,0.000278840263196529,0.325459317585302
"PIM2","mes",1,1.5172856461949,6.57343084409981,NA,0.93241469816273
"RGS14","mes",1,1.51210444772607,2.79450233808421,NA,0.368766404199475
"MTA3","mes",1,0.663927679953235,1.79479096985881,NA,0.234251968503937
"FLNA","mes",1,1.49595210169891,7.65769555371034,NA,0.969160104986877
"PLAGL1","mes",1,1.49333681106618,3.98653449599367,NA,0.586614173228346
"NR4A1","mes",1,1.49327548887178,4.56489703844247,NA,0.702755905511811
"ATM","mes",1,1.48815494320691,3.72947003674169,0,0.532808398950131
"RPS6KA2","mes",1,1.48076403190231,4.43667399949689,NA,0.680446194225722
"SIPA1","mes",1,1.475288665773,4.6112983270354,NA,0.707349081364829
"PDGFB","mes",1,1.47375364319753,3.57038619052856,NA,0.503937007874016
"LPIN1","mes",1,1.47026355237853,4.16745486395054,NA,0.61745406824147
"SEPTIN6","mes",1,1.45997981481783,5.36842965886129,NA,0.819553805774278
"FBXO31","mes",1,1.45988389023362,2.18922807788141,NA,0.291338582677165
"NES","mes",1,1.45959523010531,4.95004006696174,NA,0.759842519685039
"NEK6","mes",1,1.45808048726162,5.07875931802531,NA,0.7749343832021
"CCNF","mes",1,0.692432125345341,2.0468446385631,NA,0.2749343832021
"PDE4DIP","mes",1,1.441905507767,3.23918896287003,NA,0.446850393700787
"SUSD2","mes",1,1.43146581901746,2.21721649167705,NA,0.293307086614173
"TRIM39","mes",1,1.427571632865,1.7671028833407,NA,0.230971128608924
"BMP4","mes",1,1.42343631938467,4.42377039304745,NA,0.675853018372703
"STAT5B","mes",1,1.41938512854728,4.65642813405064,NA,0.713910761154856
"FES","mes",1,1.41448144842754,4.05753439105452,NA,0.601049868766404
"AIF1","mes",1,1.40140152732805,8.2058702477805,NA,0.979658792650919
"NR3C1","mes",1,1.39759475411226,4.89961176751049,NA,0.751968503937008
"JADE2","mes",1,1.37653927456805,4.26756400010608,NA,0.64238845144357
"TSPYL2","mes",1,1.36639172371159,4.76808855540279,NA,0.730971128608924
"DCUN1D3","mes",1,1.36026185298765,2.74013679803609,NA,0.362860892388451
"PKD2","mes",1,1.35495512827941,4.24007210038864,NA,0.635170603674541
"RARA","mes",1,1.3508217681887,4.67605233285151,NA,0.716535433070866
"ACVR1","mes",1,1.33939313936674,2.97509034387186,NA,0.402230971128609
"BMAL1","mes",1,1.33817884004055,2.70256542935113,NA,0.360236220472441
"TUBGCP6","mes",1,1.33775785227895,2.58228521936292,NA,0.346456692913386
"SPRY1","mes",1,1.33671908696906,4.90928995319144,NA,0.753280839895013
"PER2","mes",1,1.33153873259211,2.57504387000301,NA,0.343832020997375
"ABL1","mes",1,1.30857582078201,5.1151336809543,NA,0.780839895013123
"HIPK2","mes",1,1.28843984326314,3.39535352584203,NA,0.471784776902887
"MCM4","mes",1,0.778250803941469,4.28939939045737,2.17067734157676e-07,0.648293963254593
"CCPG1","mes",1,1.27482473762825,5.26618098901053,NA,0.803805774278215
"PPP1R9B","mes",1,1.27422553575717,5.09855679331954,NA,0.778215223097113
"TSC2","mes",1,1.27321579474592,3.1313366189196,NA,0.428477690288714
"SNX9","mes",1,1.27013933395438,5.77436884583322,NA,0.869422572178478
"BTG1","mes",1,1.26847543097663,4.03786592429846,NA,0.595800524934383
"RCC1","mes",1,0.797639012548746,4.43452739738701,NA,0.679790026246719
"SRPK1","mes",1,0.801459269170986,4.14642518218822,NA,0.614829396325459
"RGCC","mes",1,1.24593878734366,6.18536754542524,NA,0.900918635170604
"NDC1","mes",1,0.809575764330111,3.66592694349829,NA,0.523622047244094
"NEK3","mes",1,1.23462340159274,2.86130965396111,NA,0.377296587926509
"NEK9","mes",1,1.23091108224829,4.51991665470564,NA,0.698162729658793
"FBXW7","mes",1,1.22856434241974,3.92784816686327,NA,0.574803149606299
"FBXW5","mes",1,1.22753956119222,5.46731508355682,NA,0.83005249343832
"TBRG1","mes",1,1.21948383340237,2.09950322151304,NA,0.278871391076115
"SVIL","mes",1,1.21884022944173,4.73171754536506,NA,0.725721784776903
"PTPN6","mes",1,1.21604092151268,5.8382345689447,NA,0.872703412073491
"DAPK3","mes",1,1.20815702982756,4.5309198284782,NA,0.700787401574803
"PPP1R12A","mes",1,1.20315065185469,4.89740164931159,NA,0.751312335958005
"WNK1","mes",1,1.20049880563797,3.7469930787591,NA,0.536745406824147
"FOXN3","mes",1,1.1995566027993,2.61910145419778,NA,0.350393700787402
"UVRAG","mes",1,1.19909389389895,4.20215231632873,NA,0.625984251968504
"FBXL15","mes",1,1.19754295898649,3.2504812804171,NA,0.448818897637795
"KAT2A","mes",1,0.839852041248736,2.88630948452944,NA,0.383858267716535
