"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"SYCP2","scne",1,2.5416408091142,2.1641356998029,NA,0.245406824146982
"APC","scne",1,2.45154568627185,0.249064169276026,NA,0.0564304461942257
"SLC26A8","scne",1,2.24975059913815,0.0885102660531394,NA,0.0321522309711286
"NKX3-1","scne",1,2.1812966173292,3.88843421204186,NA,0.532152230971129
"GPR3","scne",1,2.16493251401968,1.17431099534626,NA,0.141732283464567
"NPM2","scne",1,2.16315514908655,1.76281784622376,NA,0.199475065616798
"GPSM1","scne",1,2.15022982912576,3.04830033606382,NA,0.362860892388451
"USP51","scne",1,2.14408919627697,2.07129543255364,NA,0.226377952755905
"TP73","scne",1,2.13676397276789,2.28360990745319,NA,0.26246719160105
"INHA","scne",1,2.13585996108314,0.738073537786378,NA,0.106299212598425
"TESMIN","scne",1,2.12995584048808,2.11709209966609,NA,0.236220472440945
"CENPV","scne",1,2.03760818936765,4.29819634346663,NA,0.624015748031496
"L3MBTL1","scne",1,2.02203884258145,1.18487891825961,NA,0.143044619422572
"E2F7","scne",1,2.00827360940796,2.90795429184967,NA,0.343175853018373
"MX2","scne",1,0.501756267398758,2.12630232667889,NA,0.238845144356955
"PLD6","scne",1,1.97269484170214,3.12174451132931,NA,0.375984251968504
"WDR62","scne",1,1.9642097039722,2.26950976819629,NA,0.260498687664042
"CDKL3","scne",1,1.95660871286602,0.8596710338692,NA,0.116797900262467
"CDK5R1","scne",1,1.92828128152946,3.38739867027431,NA,0.426509186351706
"SIK1","scne",1,0.521337882178375,0.954503276827812,NA,0.124015748031496
"EME1","scne",1,1.87197524741465,2.42170294225418,NA,0.278871391076115
"GADD45G","scne",1,1.85492606173948,5.13818755313244,NA,0.767716535433071
"CCNK","scne",1,0.541436151084535,1.00102554999419,NA,0.129265091863517
"BRCA2","scne",1,1.80471517380305,1.12334932824794,NA,0.136482939632546
"PSRC1","scne",1,1.75805460243737,4.80507649702745,NA,0.711942257217848
