"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"SIN3A","basq",1,0.863372528442258,3.57829519774664,NA,0.543307086614173
"HEXIM2","basq",1,0.864331479642467,2.5082471804731,NA,0.33989501312336
"BAK1","basq",1,1.15610942515901,6.15468489965599,NA,0.916010498687664
"USP22","basq",1,0.865179197792548,5.23781495717933,NA,0.822178477690289
"ACTR8","basq",1,0.868220103830465,3.45529942677463,NA,0.517060367454068
"KIF2A","basq",1,0.868483675928157,3.40053277580089,NA,0.506561679790026
"EHMT2","basq",1,0.869629822590916,3.08917602731154,NA,0.452099737532808
"CDK13","basq",1,0.870417014133269,1.9654956321481,NA,0.261154855643045
"SGF29","basq",1,0.871298185624625,3.8072421385848,NA,0.593175853018373
"PARP9","basq",1,1.14280912256079,6.07582853024112,NA,0.906167979002625
"CSNK1D","basq",1,0.87557125958942,4.7830987477008,NA,0.759842519685039
"MED1","basq",1,0.877783401035,3.54277477721234,NA,0.532808398950131
"TRIM32","basq",1,0.877934795947713,3.04917583657859,NA,0.445538057742782
"SENP6","basq",1,0.880242608547477,3.63743153368577,NA,0.551837270341207
"RRM2B","basq",1,0.881976564474925,3.79956528403837,NA,0.591207349081365
"MDM2","basq",1,0.882077642357809,4.28391421197754,1.16573417585641e-13,0.677821522309711
"CITED2","basq",1,0.882214072905842,4.46321667600022,NA,0.703412073490814
"ZZZ3","basq",1,0.883443315507561,3.52562232120945,NA,0.530839895013123
"APPL1","basq",1,0.886313518730959,3.78488440887636,NA,0.58989501312336
"E4F1","basq",1,0.8865072229598,2.86656021071051,NA,0.409448818897638
"MLH1","basq",1,0.886754571233193,4.1669188199203,NA,0.658792650918635
"CCNY","basq",1,0.888272874103392,4.60807986319136,NA,0.728346456692913
"RPRD1B","basq",1,0.888302266669933,4.11201045495545,NA,0.650262467191601
"MEAF6","basq",1,0.890734183360356,5.34591542601636,NA,0.836614173228346
"SEPTIN11","basq",1,0.891583334426163,4.70466508447039,NA,0.742782152230971
"CTCF","basq",1,0.893857267197112,4.12793873969869,NA,0.650918635170604
"PIK3R4","basq",1,0.894627236621378,3.05790184929382,NA,0.446850393700787
"ANAPC16","basq",1,0.89697753587351,4.75468962575508,NA,0.757217847769029
"ANAPC4","basq",1,0.897297214867377,3.72017362771196,NA,0.572178477690289
"KIF3B","basq",1,0.901027561165457,3.80193867310505,NA,0.591863517060367
"CUL5","basq",1,0.901694272068546,3.41119812412265,NA,0.507874015748031
"NIPBL","basq",1,0.901697709881494,3.39971428253273,NA,0.505249343832021
"PUM2","basq",1,0.90195132611943,4.7060730026109,NA,0.743438320209974
"EXOC7","basq",1,0.90278906372852,5.11486712204235,NA,0.803805774278215
"TADA3","basq",1,0.903257526756921,5.61368039935279,NA,0.864173228346457
"SMARCA5","basq",1,0.904740398002561,4.6076484351854,NA,0.727690288713911
"CCNL2","basq",1,0.905090024595724,3.88550866036396,NA,0.612860892388451
"PRKDC","basq",1,0.906888926325077,3.75516276558616,NA,0.582677165354331
"AMBRA1","basq",1,0.906985493753131,2.999013116414,NA,0.437007874015748
"TPR","basq",1,0.907044489954378,4.21724639508543,NA,0.667322834645669
"ERCC3","basq",1,0.908442170268721,4.38379778926666,NA,0.692913385826772
"MEPCE","basq",1,0.908528679169519,4.72762928562554,NA,0.75
"SON","basq",1,0.909932184916229,5.3254642910462,NA,0.832677165354331
"CDK5RAP3","basq",1,0.910451078911071,5.2497720126959,NA,0.824146981627297
"CDK12","basq",1,0.911593158581101,3.31537007557138,NA,0.491469816272966
"RBM7","basq",1,0.911922947931153,3.88907439023654,NA,0.613517060367454
