"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"SSTR5","uro",1,25.3159195154338,0.0420954516137207,NA,0.0433070866141732
"MRGPRX2","uro",1,4.10868273809412,0.304967990538722,NA,0.0971128608923885
"BIRC7","uro",1,0.260967215405853,0.109400969453369,NA,0.0656167979002625
"ANKK1","uro",1,2.27017961990622,0.626156150390191,NA,0.137139107611549
"SLFN11","uro",1,0.472661011674468,1.78526489491746,NA,0.258530183727034
"BMP7","uro",1,1.9763705629614,3.52731586738681,NA,0.55249343832021
"HERC5","uro",1,0.55837214478168,1.95141614668239,NA,0.283464566929134
"CDC25B","uro",1,0.596958522511419,3.05186787275884,NA,0.454068241469816
"ASPM","uro",1,0.617660373712364,1.29273196401189,0.00929534742249299,0.206036745406824
"TRNP1","uro",1,1.59072164630646,4.97233096339556,NA,0.783464566929134
"TUBB2A","uro",1,0.630373853483329,3.14596340344323,NA,0.477690288713911
"EME2","uro",1,1.54941196983968,0.795871697518362,NA,0.15748031496063
"NDC80","uro",1,0.654126471655143,2.96028561089024,0.00165004445212835,0.438320209973753
"CENPE","uro",1,0.660203867363594,1.57552435669648,0.00938473574271114,0.233595800524934
"NUPR1","uro",1,0.664815697649682,3.95054038067665,NA,0.623359580052493
"EZH2","uro",1,0.665090184021541,2.7303112211003,0.0146978165221391,0.39501312335958
"TACC3","uro",1,0.720989954326006,3.07220013272411,NA,0.45997375328084
"FGFR2","uro",1,1.37503024597704,2.64979787551458,NA,0.375328083989501
"BMP2","uro",1,1.36791834236015,3.87502032321475,NA,0.610892388451444
"RAD50","uro",1,1.35651607354504,3.18721041204388,NA,0.488188976377953
"CDK18","uro",1,1.32943443571092,3.4192716895065,NA,0.530183727034121
"TACC2","uro",1,1.31957060758028,3.28314473234904,NA,0.505905511811024
"CCNJL","uro",1,1.31642221819931,2.29897653291809,NA,0.326771653543307
"HAUS7","uro",1,0.800025178963964,3.17255493149106,NA,0.486220472440945
"GNB1L","uro",1,0.821609019713578,1.86185907401226,NA,0.271653543307087
"NTMT1","uro",1,0.833047269719229,4.45216277374793,NA,0.710629921259842
"ERCC6","uro",1,1.16683683409448,2.50946640274402,NA,0.358267716535433
"UFL1","uro",1,1.16580234213145,4.90313324044136,NA,0.772965879265092
"SMC6","uro",1,0.862011803998218,3.46616355381686,NA,0.538057742782152
"NCAPH2","uro",1,0.864799839618052,4.20756775705476,NA,0.667979002624672
"HTRA2","uro",1,0.876056917574622,3.86748154326638,NA,0.608923884514436
"CCNQ","uro",1,0.890612171340999,4.06203811325592,NA,0.640419947506562
"CUL4A","uro",1,0.895478186186464,2.66330991159618,NA,0.379265091863517
"EML4","uro",1,1.08815333732035,4.24797459908767,NA,0.673228346456693
"CALM2","uro",1,0.924338345589605,9.25138995807255,NA,0.990813648293963
"NOLC1","uro",1,1.07948495207537,5.64572531789938,NA,0.859580052493438
"PSMD13","uro",1,0.946960185714891,6.83736736481439,NA,0.950787401574803
"CUL1","uro",1,0.955988132779198,5.10056907035448,NA,0.798556430446194
"HSP90AB1","uro",1,1.03987787071271,9.82819956064736,NA,0.992782152230971
"CALR","uro",1,0.962941273891675,9.12036101792257,NA,0.990157480314961
