"gene_symbol","mean_expr"
"KLHL18",2.84189386789984
"NEK11",1.65123642622621
"EIF4G1",5.52757076643677
"NEK4",2.89717200370015
"RTKN",3.94483249519649
"TTL",1.12677817532875
"IL1A",5.25252752311604
"ACTR3",7.71572350963918
"CENPA",3.69481642496107
"ACVR1",2.36708624524352
"PPM1G",6.25607474133048
"INO80B",4.0915174937579
"SPTBN1",4.36939740414619
"HTRA2",4.24588247151646
"CHMP3",6.15292782131963
"ID2",5.23283725190073
"BIRC6",2.12779743659273
"ORC4",2.67317438317495
"ATF2",3.82622925158668
"MSH6",2.66325532144454
"ALMS1",0.762404406200776
"WRAP73",3.98049468070931
"PHF13",3.33395210502555
"RHOU",2.20840664165767
"FBXO6",4.63018040063608
"MAD2L2",5.46000371599959
"MIIP",3.82253331242434
"GADD45A",5.94044741806957
"UCHL5",3.57518526397734
"ZBTB17",3.07028896306743
"SSX2IP",3.43964051234336
"CDK18",2.67567320301571
"CDC20",5.89541442239605
"DR1",5.06652436613835
"SYF2",6.081807125945
"STMN1",8.04960556386584
"NEK2",4.01753047137086
"NSL1",4.47232607650021
"PROX1",0.177632827486355
"ARID1A",1.35980167365726
"CENPF",2.96622031137552
"RPA2",5.86794474502056
"STAG1",3.5561440409831
"STK11",4.22958351180324
"KIF14",2.1604589220716
"PLAGL1",2.9218977852606
"MYB",1.09212921201586
"PKD2",2.831963015353
"CCNI",7.31676656449998
"CCND2",1.89131372166631
"UBE2B",5.12044521346533
"ECRG4",0.483816335983507
"CPSF3",5.20335990146083
"PTPA",6.71604142157497
"TRIM32",3.04917583657859
"NEK6",3.85725335688062
"PPP6C",4.88276216237609
"VPS4B",5.34231859881441
"NEK9",3.52520949344606
"MLH3",0.821573412455761
"NRDE2",0.652100758184676
"SLF2",2.92589759955198
"DUSP1",6.24701598891814
"MSX2",2.4291753639402
"NUP43",3.9646978891224
"CENPL",3.08160832166891
"TEX11",0.508505691756772
"MASTL",3.77029082652026
"EPC1",3.49659406409262
"TARDBP",3.42054871880632
"COPS5",6.75525282517779
"TBX2",1.7963674876681
"TEX14",0.00762435189226817
"NCAPH",3.02408443197306
"MND1",3.69340707823153
"RNF2",4.07273336364001
"NAA50",6.10731201412729
"KIF18A",2.88045941662674
"KHDRBS1",6.49586694988951
"PDS5A",4.71158035771063
"GPSM2",4.08184440654193
"MYOG",0.0271786189255326
"ANXA11",1.29995914020907
"NAA60",4.197913114228
"SEPTIN7",6.77092307774401
