"gene_symbol","mean_expr"
"MAD1L1",2.97758311391406
"KLHL13",1.7051244825777
"CYP26B1",0.779433433368792
"POLDIP2",6.55916314983633
"CDC27",4.51419944612542
"UPF1",2.97091842199966
"SLC25A5",8.8892033553471
"KMT2E",3.26784461297326
"USH1C",0.322226578144662
"DBF4",0.674708797127344
"PAF1",5.53379465412429
"CDKL3",0.49081143873602
"MARK4",2.68809939459211
"PAFAH1B1",4.98573712754069
"PAX6",0.987362627690368
"E2F2",2.33398573394634
"CDKL5",2.29799646600287
"CDK11A",3.46867666016919
"CRY1",3.79935684394572
"PKD1",1.59056318595994
"BAZ1B",5.19737935721044
"METTL13",4.55500051796911
"ZNF207",6.95672725541324
"NCAPD2",4.7525145869392
"IFFO1",0.404326497399788
"AKAP8L",4.20595367775724
"MBTD1",0.0626050846357343
"TTC19",2.80926381437332
"DPF1",0.28757480657443
"ANLN",4.07407417981542
"WIZ",3.61849400266441
"PPP5C",5.46980650316009
"CEP68",2.67627939938763
"BRCA1",3.24751437770307
"MBTPS2",3.50390176340831
"DDX11",3.28988659618974
"TACC3",4.43020424591188
"UFL1",4.3632589796744
"BID",6.27725467117491
"IGF1",1.58929757434158
"PRDM11",0.0763247639385994
"HGF",1.43136203456111
"MNAT1",4.38866802277625
"RUNX3",1.52393034422666
"MRE11",3.83279655831112
"SPAST",3.50484248865374
"FHL1",3.67935688600254
"RTF2",6.88274751327093
"BIRC3",3.22366311926421
"UBR2",1.21969291467578
"NCAPH2",4.83263569305593
"BAK1",5.3635128664511
"CENPQ",3.79297835567895
"PIAS1",3.52187238336353
"CUL3",5.13319855110711
"ZZZ3",3.97760349552635
"USP2",0.641233128756276
"TUBG2",2.92212986218721
"NSUN2",5.52397224618694
"SPDL1",3.39024476726201
"MYO16",0.0453373455426465
"PARP3",2.8132595758601
"JADE2",3.15657403393636
"CUL7",3.27817751203432
"CNTLN",1.85378115757665
"OFD1",3.6592018035265
"YTHDC2",2.91791476549368
"TPR",4.53661977408989
"MAP4",5.52402803186804
"USP28",3.56158197588424
"RRM2B",4.18841059496872
"ARID1B",2.47292264417618
"RAD51",4.14197806528096
"FOXN3",2.21004399797724
"ANAPC4",4.19546254919193
"SDCCAG8",3.17266525680549
"FOXC1",2.31593554268724
"SPO11",0.00236424073798992
"CUL1",5.29324145355546
"PUM2",5.14008249646253
"MSH4",0.0372613336683016
"MTA3",2.8417448230933
"CDK14",2.75417289695625
"PPP1R12A",3.94327581596314
"ATP2B4",3.06594151586317
"RIOK2",3.52496596545575
"NDC1",4.68029532489424
"CDK17",3.3460986612385
"CTDP1",2.2727557135443
"WNK1",3.11833360983107
"BCAT1",1.84894234349901
"WAPL",3.78512654915973
"RNF4",5.35118933706128
"INTS13",3.66357262444852
"TAF2",3.02438324709481
