"gene_symbol","mean_expr"
"MAD1L1",3.08785625216891
"KLHL13",2.47264337473543
"CYP26B1",2.31924259880302
"POLDIP2",5.96958474768579
"CDC27",4.77265043225708
"UPF1",3.0121835345329
"SLC25A5",8.31918834645734
"KMT2E",3.82834523464162
"USH1C",0.127913704357383
"DBF4",0.403272214013782
"PAF1",5.61169625154669
"CDKL3",0.459783481951198
"MARK4",3.04683235312836
"PAFAH1B1",5.67628724087505
"PAX6",0.360526545282214
"E2F2",1.77525998416089
"CDKL5",1.42771072746363
"CDK11A",3.80515427977544
"CRY1",3.9409382081033
"PKD1",2.79112669173493
"BAZ1B",5.20470451253801
"METTL13",4.23409959488494
"ZNF207",6.76287888399917
"NCAPD2",4.50355731945927
"IFFO1",1.08394079861921
"AKAP8L",4.30036567112165
"MBTD1",0.0924400159823341
"TTC19",2.41680312453825
"DPF1",0.351614049111418
"ANLN",2.37095503021628
"WIZ",3.68095430056559
"PPP5C",5.28180200406914
"CEP68",2.97920203467301
"BRCA1",2.44756352866922
"MBTPS2",3.42201968769014
"DDX11",3.04206086212625
"TACC3",3.9910050539534
"UFL1",4.34639654558999
"BID",5.56890681861408
"IGF1",4.1303631754281
"PRDM11",0.143010008570808
"HGF",4.24613437280995
"MNAT1",4.19050112432949
"RUNX3",4.01377863703707
"MRE11",3.56514253002354
"SPAST",3.19005413022976
"FHL1",6.48610506216228
"RTF2",7.04095716864582
"BIRC3",4.97752417159418
"UBR2",1.29220537229308
"NCAPH2",4.89734774798761
"BAK1",5.22611917266279
"CENPQ",3.04942752177301
"PIAS1",4.04902809381779
"CUL3",5.6320444830463
"ZZZ3",3.94130689000105
"USP2",1.13988126432686
"TUBG2",3.66905774131712
"NSUN2",5.00805222300085
"SPDL1",3.25594651161725
"MYO16",0.455019339277706
"PARP3",3.2081646669683
"JADE2",4.26756400010608
"CUL7",3.02653160504953
"CNTLN",2.22748848166456
"OFD1",3.5175417932884
"YTHDC2",3.26072928695617
"TPR",4.73611856987213
"MAP4",6.13121463744994
"USP28",3.7020998269054
"RRM2B",4.22990242571234
"ARID1B",2.95737003882032
"RAD51",2.43033614221111
"FOXN3",2.61910145419778
"ANAPC4",4.04973528521335
"SDCCAG8",3.73591577211566
"FOXC1",2.40576825685047
"SPO11",0
"CUL1",5.39217584092631
"PUM2",5.21154875360006
"MSH4",0.0842913818978359
"MTA3",1.79479096985881
"CDK14",3.84283697146662
"PPP1R12A",4.89740164931159
"ATP2B4",4.45307523667602
"RIOK2",3.94218400994416
"NDC1",3.66592694349829
"CDK17",4.42160582282742
"CTDP1",2.70528162861621
"WNK1",3.7469930787591
"BCAT1",3.5662914195147
"WAPL",4.24016299391301
"RNF4",5.64831056173851
"INTS13",3.86723675442544
"TAF2",2.44507729740792
"HIPK2",3.39535352584203
"IPO5",5.1818351765141
"PKN2",3.74571198029315
"CDK13",2.23890740181262
"FOXJ2",3.7734308887288
"SMARCD1",4.6216497313182
"ASPM",1.3887209522753
"FGFR2",1.84549145918483
"EML1",3.90700890824976
"STAG3",0.275923703752886
"TP53BP1",2.98338532374894
"RHOA",9.38011549026661
"ROCK1",4.71442330401115
"PRR11",2.56468133518345
"KIF2A",4.06441335453788
"SIRT2",5.44975591190331
"PPP2R5B",3.79970968795967
"LRP6",2.10140380389157
"PTPN3",0.204011263893656
"FGF10",2.0001405710338
"EXOC5",2.48543509889922
"CLTCL1",1.565351646391
"MNT",3.26884054262829
"ASNS",4.14054231624923
"CSNK2A2",4.59926186330206
"CAMK2A",0.603624888030884
"CDC42",7.50298977806378
"RAD18",2.28436751765084
"RPS6KA2",4.43667399949689
"ING3",3.89622581035232
"VASH1",4.32022268495045
"TRIP13",2.5229227641116
"PRKACA",5.88072401537107
"ZFYVE26",3.05644703858152
"SMC1A",4.33896236817133
"CHFR",3.60358543805217
"FBXW11",4.70006696046588
"NDE1",3.23613481786665
"MCM2",3.89562373884498
"MOV10L1",0.777597467377478
"LLGL2",2.35496350123688
"NLE1",2.11073654503002
"SMARCE1",6.16274608760158
"PTGS2",3.54468779958367
"CLASP1",1.95429795002232
"TSG101",6.37858435046065
"TUBE1",3.00085974186462
"TIPIN",2.07725065365323
"NUP37",4.84823869409113
"GTSE1",2.03868364085931
"ACTB",12.4557009433273
"WDR62",1.00304664241273
"DLG1",4.1829932588065
"TUBA3D",0.0613557746840626
"MCM6",4.90089081585033
"RBM7",4.34450096134807
"MLH1",4.8137458916217
"SPAG5",2.79255809116634
"CAMSAP3",0.569388653192631
"ACTL6B",0.109934328270847
"TOP2B",4.77210822740629
"USP33",3.94748358213574
"JADE1",2.66580373765196
"UBE2A",6.39601352704598
"FGFR1",4.92919227368337
"FKBP6",0.0229381246490473
"SMC1B",0.0721212374377226
"FAP",4.54849669976809
"PIK3C3",2.93943836088115
"EDN1",3.85599650834566
"ZCWPW1",2.11113434253183
"PCM1",4.87960231429476
"BRINP1",0.360491226359219
"TP73",0.902856256450007
"CDC14A",2.40908185761539
"KIF22",4.20074985564179
"DNM2",5.34619679561267
"SMARCA2",3.32623524204256
"MOK",1.84796337277322
"RBL1",2.44257382204941
"NDC80",3.43170066354595
"PTPRC",5.56614969939259
"CDC14B",1.65083925901492
"SMARCD3",4.15018700891674
"CCNT2",3.14823552743818
"XPO1",5.56087507628017
"PIBF1",3.59252556884639
"PDS5B",3.21196052292611
"CYLD",3.75064398704495
"ZNF324",1.86140109295253
"CHMP2B",5.36186526855813
"ZMPSTE24",5.3011110173135
"MAPRE3",3.27096045046113
"ATRX",4.28683161829206
